Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1
Child Health Center,Manhattan,La Clinica Del Barrio,,212-410-7940,POINT (-73.932667945174 40.798205044469)
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,POINT (-73.878351155182 40.738710402563)
Child Health Center,Brooklyn,Ida G. Israel Community Health Center,W. 22nd St. & W. 23rd St.,718-946-3400,POINT (-73.989497148121 40.578488319967)
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,POINT (-73.775306901692 40.676945262114)
Child Health Center,Bronx,Melrose Houses Child Health Clinic,between Morris Ave. & Courtlandt Ave.,718-292-2820,POINT (-73.917709787212 40.821301194646)
Child Health Center,Bronx,Daniel Webster Houses Child Health Clinic,corner of Webster Ave.,718-538-2147,POINT (-73.909534601874 40.832279848967)
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,POINT (-73.916811846348 40.810121864043)
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,POINT (-73.792820999789 40.71311535449)
Child Health Center,Queens,Queens Hospital Center,,718-883-3000,POINT (-73.792820999789 40.71311535449)
Child Health Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,POINT (-73.976235572166 40.695143584665)
Child Health Center,Queens,Junction Boulevard Child Health Clinic,between 34th Ave. & 35th Ave.,718-334-6150,POINT (-73.883612545283 40.751630739367)
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,POINT (-73.941643858765 40.70052661478)
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,POINT (-73.935456875218 40.69392371549)
Acute Care Hospital,Bronx,Jacobi Medical Center,,718-918-5000,POINT (-73.846571204087 40.857397104611)
Acute Care Hospital,Manhattan,Metropolitan Hospital Center,,212-423-6262,POINT (-73.943795653643 40.784557024105)
Child Health Center,Brooklyn,Bushwick Communicare,between Linden St. & Grove St.,718-573-4860,POINT (-73.919223916666 40.694738427187)
Child Health Center,Brooklyn,Lafayette Houses Child Health Clinic,between Classon Ave. & Taffee Place,718-638-8258,POINT (-73.959782659483 40.690366628996)
Diagnostic & Treatment Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,POINT (-73.89520529393 40.671962495107)
Child Health Center,Brooklyn,Williamsburg Child Health Clinic,between Power & Grand St.,718-387-2211,POINT (-73.943994071543 40.712103238036)
Acute Care Hospital,Bronx,North Central Bronx Hospital,,718-519-5000,POINT (-73.881592877502 40.880463372456)
Child Health Center,Manhattan,Harlem Hospital Center,,212-939-1000,POINT (-73.940602831291 40.814275217502)
Child Health Center,Manhattan,Sydenham Health Center,,212-932-6500,POINT (-73.949197484073 40.809338651192)
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,POINT (-73.939761495742 40.66005451681)
Child Health Center,Bronx,Lincoln  Medical &  Mental Health Center,,718-579-5000,POINT (-73.924200271483 40.817688484049)
Child Health Center,Queens,Corona Child Health Clinic,between 104th St. & 106th St.,718-334-6100,POINT (-73.853040688577 40.749678220374)
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,POINT (-74.131766325901 40.597953866387)
Child Health Center,Queens,Springfield Gardens Medical Center,,718-883-6800,POINT (-73.750873933285 40.669711181226)
Child Health Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,POINT (-73.919313161708 40.810901316477)
Diagnostic & Treatment Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,POINT (-73.920034037019 40.835906387949)
Child Health Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500,POINT (-73.949197484073 40.809338651192)
Child Health Center,Manhattan,Washington Heights Child Health Care Center,corner of Broadway,212-795-0880,POINT (-73.939961696627 40.841127875341)
Child Health Center,Bronx,Jacobi Medical Center,,718-918-5000,POINT (-73.846571204087 40.857397104611)
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,POINT (-73.976235572166 40.695143584665)
Diagnostic & Treatment Center,Manhattan,Renaissance Health Care Network Diagnostic & Treatment Center,,212-932-6500 ,POINT (-73.949197484073 40.809338651192)
Acute Care Hospital,Brooklyn,Kings County Hospital Center,,718-245-3131,POINT (-73.944662615537 40.655761808605)
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,POINT (-73.949999674945 40.761976486226)
Child Health Center,Brooklyn,Kings County Hospital Center,,718-245-3131,POINT (-73.944662615537 40.655761808605)
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,POINT (-73.976572846645 40.73962320748)
Child Health Center,Manhattan,Roberto Clemente Health Center,,212-387-7400,POINT (-73.979916628238 40.72930119329)
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,between Roebling Street & Division Ave.,718-387-6407,POINT (-73.956165823569 40.715367609829)
Child Health Center,Manhattan,Grant Houses Clinic,,212-678-8420,POINT (-73.958430492697 40.815255660488)
Child Health Center,Manhattan,Dyckman Clinica De Las Americas,corner of Nagle Ave. and Dyckman St.,212-544-2001,POINT (-73.92380763599 40.861957938597)
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,POINT (-73.89520529393 40.671962495107)
Child Health Center,Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,POINT (-73.911410916321 40.664911170498)
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,POINT (-73.965830115778 40.586645433957)
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,POINT (-73.943994071543 40.712103238036)
Child Health Center,Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,POINT (-74.076994470087 40.626576449488)
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,POINT (-73.878351155182 40.738710402563)
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,POINT (-73.944368541175 40.601233507321)
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,POINT (-74.157474896698 40.62609762251)
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,POINT (-73.995719412648 40.721735692317)
Child Health Center,Manhattan,Metropolitan Hospital Center,,212-423-6262,POINT (-73.943795653643 40.784557024105)
Child Health Center,Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,POINT (-73.857887416826 40.874626006887)
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,POINT (-73.954045460054 40.729665609686)
Acute Care Hospital,Queens,Queens Hospital Center,,718-883-3000,POINT (-73.792820999789 40.71311535449)
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,POINT (-73.987598534724 40.712841397448)
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,POINT (-73.987598534724 40.712841397448)
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,POINT (-73.987598534724 40.712841397448)
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,POINT (-73.982413019989 40.692053402323)
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,POINT (-73.949999674945 40.761976486226)
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,POINT (-73.878318817943 40.67189903622)
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,POINT (-73.942389748859 40.822139979421)
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,POINT (-73.90484714408 40.745193764481)
Acute Care Hospital,Bronx,Lincoln Medical and Mental Health Center,,718-579-5000,POINT (-73.924200271483 40.817688484049)
Acute Care Hospital,Manhattan,Harlem Hospital Center,,212-939-1000,POINT (-73.940602831291 40.814275217502)
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,POINT (-73.965830115778 40.586645433957)
Child Health Center,Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,POINT (-73.894548724404 40.844000208275)
Child Health Center,Bronx,North Central Bronx Hospital,,718-519-5000,POINT (-73.881592877502 40.880463372456)
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,POINT (-73.935701697386 40.673492222873)
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,POINT (-73.980135660503 40.716367017869)
Child Health Center,Manhattan,Manhattanville/St. Nicholas Houses Child Health Care Center,between A.C. Powell & F. Douglas Blvds.,212-865-1300,POINT (-73.949657755163 40.811276995393)
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,POINT (-73.941006610822 40.697855287659)
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,POINT (-73.941643858765 40.70052661478)
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,POINT (-73.909082385178 40.684303566262)
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,POINT (-73.976572846645 40.73962320748)
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,POINT (-73.90543308997 40.702949636008)
Child Health Center,Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,POINT (-73.997542215578 40.711969729879)
Child Health Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,POINT (-73.920034037019 40.835906387949)
